"File","LineCoverage","BranchCoverage","Complexity","TotalLines","CoveredLines","Classes"
"Core\Audit\AuditCaptureContext.cs","0","0","25","42","0","1"
"Core\ServerManager.cs","68.8","89.55","291","484","333","2"
"Core\StructuredOutput\IntentParameters.cs","70.68","84","79","133","94","4"
"Core\StructuredInput\PartialContextBuilder.cs","73.02","100","16","63","46","1"
"Utilities\ProcessUtils.cs","79.55","100","59","176","140","4"
"Utilities\PathUtils.cs","81.3","96","64","123","100","1"
"Persistence\FileSystemSaveSystem.cs","81.34","100","38","134","109","1"
"Persona\PersonaMemoryStore.cs","82.76","88.24","43","116","96","1"
"Core\Audit\DebugPackageImporter.cs","82.79","88.24","38","122","101","1"
"Utilities\JsonUtils.cs","83.12","100","63","231","192","3"
"Persistence\SaveSlotInfo.cs","83.33","0","6","6","5","1"
"Persona\MemoryMutationController.cs","83.9","76.36","154","292","245","7"
"Core\StructuredInput\LlamaCppStructuredContextProvider.cs","84.94","100","60","166","141","1"
"Core\Inference\PromptWithCacheInfo.cs","85.71","100","19","42","36","1"
"Core\StructuredOutput\StructuredSchemaValidator.cs","86.84","97.44","104","190","165","2"
"Core\FunctionCalling\BuiltInContextFunctions.cs","87.56","100","45","217","190","1"
"Persona\MemoryTypes\WorldState.cs","88.46","100","13","26","23","1"
"Core\Inference\PromptAssembler.cs","89.04","90","159","374","333","4"
"Persistence\MemorySnapshotRestorer.cs","89.11","85.71","30","101","90","1"
"Core\ClientManager.cs","89.36","100","11","47","42","3"
"Core\Inference\PrefixStabilityValidator.cs","89.91","100","40","109","98","4"
"Core\ApiClient.cs","90.34","98.51","163","435","393","7"
"Core\StructuredOutput\StructuredDialoguePipeline.cs","90.66","91.67","65","182","165","8"
"Core\BrainAgent.cs","91.56","100","127","320","293","13"
"Core\LlmConfig.cs","91.67","100","40","60","55","1"
"Core\Inference\EphemeralWorkingMemory.cs","91.8","88","144","317","291","4"
"Persona\MemoryTypes\MemoryEntry.cs","92","0","15","25","23","2"
"Core\StructuredOutput\JsonSchemaBuilder.cs","92.41","100","118","369","341","5"
"Core\Validation\OutputParser.cs","92.44","97.14","187","357","330","3"
"Persona\PersonaMemoryFileStore.cs","93.04","100","65","158","147","1"
"Core\Validation\ValidationGate.cs","93.12","97.3","137","320","298","7"
"Persona\PersonaProfileManager.cs","93.47","100","67","199","186","1"
"Core\StructuredOutput\StructuredPipelineMetrics.cs","93.81","80","33","97","91","1"
"Core\Validation\ParsedOutput.cs","93.96","100","51","149","140","3"
"Core\Audit\DebugPackageExporter.cs","94.17","100","70","103","97","1"
"Persona\AuthoritativeMemorySystem.cs","94.19","98.39","182","327","308","2"
"Core\StructuredOutput\SchemaVersion.cs","94.66","94.12","57","131","124","2"
"Core\Audit\DriftDetector.cs","95.96","100","63","99","95","1"
"Core\Audit\ReplayResult.cs","96.63","100","41","89","86","2"
"Core\StructuredOutput\LlamaCppStructuredOutputProvider.cs","96.72","100","25","61","59","1"
"Core\Inference\ResponseValidator.cs","96.73","100","73","153","148","2"
"Core\Audit\RingBuffer.cs","96.84","100","41","95","92","2"
"Core\Audit\AuditHasher.cs","97.22","100","14","36","35","1"
"Core\Expectancy\Constraint.cs","97.44","0","12","39","38","1"
